,Symbol,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,TrailingPE,Beta,fiscalDateEnding,grossProfit,totalRevenue,costOfRevenue,operatingIncome,operatingExpenses,ebit,netIncome,totalAssets,totalLiabilities,currentDebt,totalShareholderEquity,operatingCashflow,capitalExpenditures,profitLoss,dividendPayout
189,FAST,40067756000,1706000000,34.66,3.615,5.86,1.4,0.0223,2.02,3215800000,2.02,0.084,0.037,34.66,1.037,2023-12-31,3354500000,7340200000,5828700000,1528700000,1834400000,1532800000,1155000000,4462900000,1114100000,60000000,3348800000,1432700000,172800000,1155000000,1016800000
190,FRT,8395479000,698789000,29.4,8.25,33.35,4.33,0.0431,3.44,730580000,3.44,-0.646,0.046,29.4,1.243,2022-12-31,364224000,1074378000,710154000,526408000,711827000,526408000,385491000,8233991000,5021606000,None,2954012000,516769000,438494000,395661000,347284000
191,FDX,60629037000,11092000000,14.39,0.845,107.11,4.93,0.0208,16.86,24396000000,16.86,-0.133,0.139,14.39,1.211,2023-05-31,49408000000,89461000000,40053000000,4912000000,15346000000,6057000000,3972000000,87143000000,61055000000,126000000,26088000000,8848000000,6174000000,3972000000,1177000000
192,FIS,36591809000,3701000000,None,1.288,34.23,2.03,0.0337,-27.76,5708000000,-27.76,0.202,0.031,-,0.956,2022-12-31,5708000000,14228000000,32817000000,-16119000000,23944000000,-16043000000,-16720000000,63278000000,35872000000,5885000000,27218000000,3939000000,1453000000,-16708000000,1138000000
193,FITB,22919856000,None,10.45,3.691,25.04,1.36,0.0404,3.22,7823000000,3.22,-0.288,-0.016,10.45,1.291,2022-12-31,3102000000,8384000000,5282000000,1192000000,1615000000,4071000000,2446000000,207452000000,190125000000,5226000000,17327000000,6428000000,348000000,2446000000,927000000
194,FSLR,16186866000,737442000,34.28,1.576,58.99,None,None,4.42,127658000,4.42,2.058,0.274,34.28,1.412,2022-12-31,69858000,2619319000,2549461000,-27236000,350605000,20823000,-44166000,8251228000,2415173000,None,5836055000,873369000,903605000,-44166000,None
195,FE,21409038000,3556000000,39.27,2.421,18.25,1.56,0.044,0.95,8231000000,0.95,0.196,0.003,39.27,0.482,2022-12-31,10573000000,12459000000,1886000000,1910000000,4973000000,2445000000,406000000,46108000000,35465000000,451000000,10166000000,2683000000,2756000000,439000000,891000000
196,FI,86564823000,7250000000,28.96,0.964,49.54,None,None,4.98,9745000000,4.98,0.179,0.062,28.96,0.906,2022-12-31,7720000000,17737000000,10017000000,3740000000,9963000000,3827000000,2530000000,83869000000,52181000000,468000000,30828000000,4618000000,1479000000,2582000000,42000000
197,FLT,19740600000,1993477000,20.7,1.181,45.55,None,None,13.21,2662422000,13.21,0.144,0.061,20.7,1.26,2022-12-31,2146101000,3427100000,1280999000,1446641000,1412095000,1446641000,954327000,14089260000,11547767000,2314056000,2541493000,754797000,151428000,954327000,None
198,FMC,6492451000,952200000,4.576,1.846,35.5,2.32,0.0448,11.31,2326800000,11.31,3.082,-0.293,4.576,0.876,2022-12-31,2326800000,5573700000,4331100000,1144300000,1246100000,1033500000,736500000,11171300000,7793400000,540800000,3377900000,1114500000,142300000,741500000,267500000
199,F,50981716000,11817000000,11.74,0.722,10.76,0.6,0.0473,1.08,17215000000,1.08,1.938,0.045,11.74,1.643,2023-12-31,13823000000,176191000000,162368000000,5458000000,22012000000,11598000000,4347000000,273310000000,230512000000,None,42773000000,14918000000,8236000000,4329000000,4995000000
200,FTNT,54091583000,1349900000,48.25,1.907,-0.606,None,None,1.46,3332500000,1.46,0.018,0.103,48.25,1.094,2022-12-31,3332500000,4313600000,2963300000,969600000,2362900000,906100000,857300000,6228000000,6509600000,None,-281600000,1730600000,281200000,856600000,None
201,FTV,29002889000,1590500000,34.03,1.423,29.42,0.29,0.0039,2.43,3363400000,2.43,0.177,0.035,34.03,1.174,2022-12-31,3363400000,5709200000,4800900000,987400000,2754100000,987400000,755200000,15890600000,6207200000,999700000,9683400000,1303200000,95800000,755200000,99500000
202,FOXA,13158072000,2754000000,17.41,17.45,21.52,0.51,0.0175,1.71,5224000000,1.71,-0.608,-0.081,17.41,0.822,2023-06-30,12342000000,14913000000,2571000000,604000000,11738000000,2071000000,1239000000,21866000000,11488000000,1249000000,10378000000,1800000000,357000000,1253000000,299000000
203,FOX,13160491000,2754000000,16.05,16.08,21.52,0.51,0.0189,1.71,5224000000,1.71,-0.608,-0.081,16.05,0.822,2023-06-30,12342000000,14913000000,2571000000,604000000,11738000000,2071000000,1239000000,21866000000,11488000000,1249000000,10378000000,1800000000,357000000,1253000000,299000000
204,BEN,14269723000,1890600000,14.26,39.7,24.26,1.21,0.0458,1.9,3140100000,1.9,0.55,0.012,14.26,1.434,2023-09-30,1943700000,7724000000,5780300000,1102300000,6747100000,1318800000,882800000,30121200000,16547300000,None,11916900000,1138700000,148800000,1103400000,607300000
205,FCX,54663283000,8360000000,29.19,0.2,11.56,0.6,0.0161,1.28,9710000000,1.28,-0.444,0.026,29.19,2.059,2022-12-31,7691000000,22780000000,15089000000,7037000000,1154000000,7037000000,3468000000,51093000000,26222000000,1037000000,15555000000,5139000000,3469000000,4479000000,1706000000
206,GRMN,23585372000,1192613000,22.74,1.976,33.17,2.92,0.0237,5.42,2806775000,5.42,0.229,0.12,22.74,0.981,2022-12-31,2806775000,4851095000,2860035000,1027845000,1778930000,1027845000,973585000,7731170000,1526830000,None,6204340000,788259000,246193000,973585000,679096000
207,IT,36525375000,1328779000,39.86,1.99,7.21,None,None,11.63,3782075000,11.63,-0.176,0.054,39.86,1.303,2022-12-31,1058068000,5479129000,4421061000,1100106000,2726890000,1153398000,807799000,7299736000,7071938000,7800000,227798000,1101422000,108050000,807799000,None
208,GEHC,37038735000,3560000000,26.76,19.13,15.66,0.12,0.0015,3.04,7179000000,3.04,-0.279,0.054,26.76,None,2023-12-31,7922000000,18952000000,4316000000,2435000000,5487000000,2435000000,1568000000,32454000000,25144000000,1006000000,7133000000,4237000000,387000000,1614000000,41000000
209,GEN,13598029000,1858000000,9.66,5.06,3.796,0.5,0.024,2.21,2388000000,2.21,-0.12,0.016,9.66,1.131,2023-03-31,2749000000,3338000000,589000000,1227000000,1522000000,1227000000,1349000000,15947000000,13747000000,233000000,2200000000,757000000,6000000,1349000000,314000000
210,GNRC,7810409000,507715000,50.16,1.806,38.52,None,None,2.53,1522004000,2.53,0.169,-0.016,50.16,1.45,2022-12-31,1522004000,4496168000,3851931000,566330000,955674000,553924000,399502000,5169462000,2799736000,61723000,2257381000,58516000,86188000,408870000,309000
211,GD,74012959000,4570000000,22.47,1.649,77.97,5.28,0.0195,12.02,6622000000,12.02,0.014,0.075,22.47,0.677,2023-12-31,38982000000,42272000000,3290000000,4245000000,3290000000,4383000000,3315000000,54810000000,33511000000,507000000,21299000000,4710000000,904000000,3315000000,1400000000
212,GE,151582605000,7877000000,17.45,1.614,25.15,0.32,0.0023,7.98,18536000000,7.98,-0.232,0.154,17.45,1.186,2023-12-31,57663000000,67954000000,10291000000,45321000000,12342000000,45321000000,9481000000,163045000000,134466000000,1253000000,27378000000,5179000000,1595000000,9443000000,589000000
213,GIS,36379066000,4090500000,15.17,1.802,16.49,2.26,0.0379,4.11,6545800000,4.11,0.01,-0.016,15.17,0.145,2023-05-28,6545800000,1957400000,-4588400000,3433800000,3369600000,3588200000,2593900000,31451700000,20751700000,1740800000,10449600000,2778600000,689500000,2609600000,1287900000
214,GM,44618932000,15783999000,5.27,0.719,53.57,0.36,0.0124,7.32,21154000000,7.32,0.135,-0.003,5.27,1.5,2023-12-31,169348000000,171842000000,2494000000,9298000000,162544000000,9298000000,10127000000,273064000000,204757000000,None,64286000000,20930000000,10970000000,9840000000,597000000
215,GPC,20073404000,2044762000,16.16,1.484,29.85,3.745,0.0265,8.86,7740104000,8.86,0.132,0.026,16.16,0.947,2022-12-31,7740104000,22227692000,20560045000,1614199000,6125905000,1646489000,1182701000,16495379000,12705016000,252029000,3790363000,3034525000,339632000,1182701000,495917000
216,GILD,91957838000,12566332000,16.37,0.416,18.26,3,0.0418,4.5,21624000000,4.5,-0.123,-0.037,16.37,0.213,2022-12-31,10407000000,26413000000,16006000000,7330000000,16094000000,6775000000,4592000000,63171000000,41931000000,2273000000,21240000000,9072000000,728000000,4566000000,3709000000
217,GPN,35576922000,3828990000,41.46,0.194,86.19,1,0.0074,3.28,5228998000,3.28,0.324,0.083,41.46,1,2022-12-31,-282780000,8338021000,8620801000,640151000,5056278000,640151000,111493000,44809014000,22268804000,1169330000,22303506000,2244040000,615652000,143313000,273955000
218,GL,11853310000,1317582000,12.49,None,41.9,0.9,0.0071,10.08,1350660000,10.08,0.345,0.07,12.49,0.695,2022-12-31,982859000,5214906000,4232047000,990666000,661470000,996706000,739704000,25927141000,21977564000,614603000,3949577000,1422194000,27929000,739704000,80547000
219,GS,125566190000,None,16.81,3.041,298.5,10.5,0.0286,22.86,37530000000,22.86,0.648,0.116,16.81,1.424,2022-12-31,19783000000,68711000000,33879000000,11795000000,7988000000,34832000000,11261000000,1441799000000,1324610000000,152927000000,117189000000,8708000000,3748000000,11261000000,3682000000
220,HAL,31180265000,5081000000,11.82,1.022,10.56,0.64,0.0197,2.92,3243000000,2.92,0.013,0.028,11.82,2.022,2023-12-31,22764000000,23020000000,256000000,4083000000,664000000,4083000000,2638000000,24683000000,15250000000,0,9391000000,3458000000,1379000000,2662000000,576000000
221,HIG,27106785000,3815666000,11.39,1.41,50.23,1.745,0.0207,7.97,7379000000,7.97,0.393,0.061,11.39,0.869,2022-12-31,-10813000000,22362000000,33175000000,-15869000000,5056000000,2471000000,1815000000,73008000000,59332000000,None,13676000000,4008000000,175000000,1815000000,527000000
222,HAS,7031201000,927500000,None,1.448,15.84,2.8,0.0553,-4.02,2915700000,-4.02,-0.492,-0.103,-,0.704,2022-12-31,1399500000,5856700000,4457200000,407700000,2853300000,433000000,203500000,9295900000,6434000000,255600000,2861900000,372900000,174200000,203000000,385300000
223,HCA,81989919000,12704000000,16.16,1.375,-6.54,2.4,0.0086,18.96,23177000000,18.96,-0.186,0.117,16.16,1.66,2022-12-31,31963000000,60233000000,28270000000,20223000000,10439000000,9130000000,5643000000,52438000000,55205000000,501000000,-2767000000,8522000000,4395000000,6834000000,653000000
224,PEAK,9843363000,1164871000,30.96,3.191,11.61,0,0.0692,0.56,1194700000,0.56,126.35,0.056,30.96,1.026,2023-12-31,413996000,2181003000,1767007000,-488064000,902060000,496723000,306009000,15698850000,8773980000,None,6350446000,956242000,774561000,334757000,657021000
225,HSIC,9733694000,1072000000,21.81,1.742,28.1,None,None,3.38,3831000000,3.38,-0.037,0.031,21.81,0.846,2022-12-31,3831000000,12603000000,11954000000,747000000,3143000000,752000000,538000000,8607000000,3936000000,109000000,3446000000,602000000,96000000,566000000,None
226,HSY,41372074000,3044288000,21.55,3.135,20.02,4.456,0.028,9.07,4498547000,9.07,-0.115,0.002,21.55,0.356,2022-12-31,4498785000,10318574000,8247668000,2260787000,2374102000,2057166000,1644817000,10948820000,7649276000,1447368000,3299544000,2327837000,519481000,1644817000,775030000
227,HES,44928078000,5102000000,31.64,0.29,29.18,1.75,0.0123,4.49,7741000000,4.49,-0.167,0.025,31.64,1.288,2022-12-31,10951000000,11570000000,619000000,8427000000,1882000000,3688000000,2096000000,21695000000,13199000000,24000000,7855000000,3944000000,2725000000,2447000000,465000000
228,HPE,20150006000,5116000000,10.05,1.157,16.51,0.48,0.0336,1.54,10239000000,1.54,0.129,-0.066,10.05,1.217,2023-10-31,22940000000,29135000000,6195000000,2089000000,7785000000,2939000000,2025000000,57153000000,35971000000,4868000000,21182000000,4428000000,2828000000,2036000000,619000000
229,HLT,49057870000,2413000000,44.48,1.3,-9.31,0.6,0.0031,4.32,2737000000,4.32,-0.525,0.071,44.48,1.265,2023-12-31,9642000000,10235000000,593000000,2225000000,593000000,2146000000,1141000000,15401000000,17748000000,39000000,-2360000000,1946000000,247000000,1151000000,158000000
230,HOLX,17238718000,1247400000,34.81,1.565,19.84,None,None,2.11,2481400000,2.11,0.373,-0.057,34.81,1.018,2023-09-30,2071500000,4030400000,1958900000,668400000,1403100000,787200000,456000000,9139300000,4122400000,290100000,5016900000,1051200000,150200000,456000000,None
231,HD,361996616000,25472000000,23.25,2.256,1.436,8.36,0.023,15.62,52778000000,15.62,-0.101,-0.03,23.25,0.981,2023-01-29,52778000000,157403000000,104625000000,24039000000,28739000000,24094000000,17105000000,76445000000,74883000000,1231000000,1562000000,14615000000,3119000000,17105000000,7789000000
232,HON,128448463000,8260000000,23.0,1.944,25.03,4.17,0.0223,8.47,11641000000,8.47,0.268,0.028,23.0,1.044,2022-12-31,5505000000,35397000000,29892000000,-2382000000,7887000000,6399000000,4966000000,62275000000,45578000000,4447000000,16697000000,5274000000,766000000,4967000000,2719000000
233,HRL,16115368000,1310985000,20.04,4.271,14.15,1.1,0.0389,1.45,1999841000,1.45,-0.297,-0.026,20.04,0.231,2023-10-29,1999841000,12036608000,11106699000,1072046000,1030230000,1087526000,793572000,13448772000,5713887000,959126000,7734885000,1047847000,270211000,792920000,592932000
234,HST,14008472000,1465000000,18.65,1.139,9.74,0.57,0.0332,1.05,1530000000,1.05,-0.019,0.019,18.65,1.326,2022-12-31,3673000000,4752000000,1079000000,775000000,736000000,815000000,633000000,12269000000,5390000000,413000000,6710000000,1416000000,805000000,643000000,150000000
235,HWM,24362891000,1398000000,38.05,0.803,9.27,0.16,0.0031,1.54,1596000000,1.54,1.368,0.157,38.05,1.232,2022-12-31,728000000,5433000000,4705000000,919000000,725000000,835000000,469000000,10255000000,6654000000,0,3601000000,733000000,193000000,469000000,44000000
236,HPQ,28161436000,5074000000,8.72,3.078,-1.081,1.05,0.0388,3.26,11508000000,3.26,-0.296,-0.065,8.72,1.056,2023-10-31,11508000000,53718000000,42210000000,3456000000,7967000000,3456000000,3263000000,37004000000,38073000000,230000000,-1069000000,3571000000,609000000,3263000000,1037000000
237,HUBB,19467137000,1189300000,25.84,2.242,53.55,4.58,0.0134,14.05,1481500000,14.05,0.633,0.103,25.84,0.918,2023-12-31,1888100000,5333700000,4413300000,1038500000,931300000,1038500000,759800000,6914000000,4024700000,117400000,2877000000,1659300000,165700000,766000000,245500000
238,HUM,45257101000,5471000000,18.51,1.533,133.05,3.54,0.0096,20,17180000000,20,-0.285,0.179,18.51,0.466,2022-12-31,79874000000,92870000000,12996000000,3800000000,12763000000,3969000000,2806000000,43055000000,27685000000,2092000000,15311000000,4587000000,1120000000,2802000000,392000000
239,HBAN,17973651000,None,10.01,2.794,11.71,0.62,0.05,1.24,6956000000,1.24,-0.646,-0.145,10.01,1.128,2022-12-31,3255000000,7456000000,4201000000,1628000000,1627000000,3449000000,2238000000,182906000000,165137000000,2027000000,17731000000,4027000000,214000000,2249000000,1010000000
240,HII,10843893000,1119000000,16.06,3.723,103.31,5.02,0.019,17.06,1440000000,17.06,1.249,0.13,16.06,0.579,2023-12-31,10304000000,11454000000,1150000000,781000000,1191000000,948000000,681000000,11215000000,7122000000,231000000,4093000000,970000000,278000000,681000000,200000000
241,IBM,170150593000,13777000000,22.89,4.306,24.63,6.63,0.0356,8.14,32688000000,8.14,0.197,0.041,22.89,0.716,2022-12-31,32687000000,60530000000,27842000000,6408000000,26279000000,2229000000,1639000000,127243000000,105222000000,9511000000,21944000000,10435000000,1346000000,1639000000,5948000000
242,IEX,17257740000,897100000,29.07,2.35,46.84,2.56,0.0112,7.85,1435400000,7.85,-0.161,-0.027,29.07,0.952,2022-12-31,1426900000,3181900000,1755000000,751400000,803200000,790300000,586900000,5511900000,2472300000,0,3039300000,557400000,68000000,586700000,177400000
243,IDXX,47639286000,1210689000,56.82,5.65,17.87,None,None,10.07,2004338000,10.07,0.126,0.088,56.82,1.253,2022-12-31,2004338000,3367324000,1362986000,898765000,1219665000,899830000,679089000,2746765000,2138028000,74982000,608737000,542984000,158838000,679089000,None
244,ITW,76951601000,4434666000,26.26,2.883,10.04,5.42,0.0219,9.74,6503000000,9.74,-0.192,0.003,26.26,1.159,2023-12-31,6358000000,15803000000,9445000000,4040000000,418000000,4040000000,2957000000,15518000000,13239000000,1825000000,3012000000,3539000000,455000000,2957000000,1615000000
245,ILMN,22760829000,452000000,None,3.786,36.36,None,None,-7.35,3145000000,-7.35,-0.965,0.036,-,1.219,2022-12-31,3154000000,4526000000,1372000000,-123000000,3277000000,945000000,762000000,12252000000,5653000000,1248000000,6599000000,392000000,466000000,-4404000000,None
246,INCY,12922124000,626796000,30.67,0.332,22.0,None,None,1.88,1593729000,1.88,0.52,0.116,30.67,0.669,2022-12-31,3187638000,3394635000,206997000,579440000,2612676000,531782000,340660000,5840984000,1470865000,3179000,4370119000,969941000,77833000,340660000,None
247,IR,34772062000,1614700000,46.68,1.036,23.6,0.06,0.0009,1.84,2325600000,1.84,0.452,0.147,46.68,1.431,2022-12-31,2325600000,5916300000,3590700000,817300000,1575300000,857500000,604700000,14765900000,5508700000,36500000,9195800000,1832200000,94600000,608500000,32400000
248,PODD,13730895000,157700000,112.6,0.568,8.7,None,None,1.71,805600000,1.71,-0.15,0.27,112.6,1.04,2022-12-31,805600000,1305300000,499700000,37600000,779400000,46300000,4600000,2251100000,1774700000,27500000,476400000,119000000,157300000,4600000,None
249,INTC,183114678000,9633000000,108.28,0.508,24.97,0.74,0.0115,0.4,26866000000,0.4,-0.717,0.097,108.28,1.018,2023-12-31,21711000000,53879000000,39844000000,93000000,21618000000,1654000000,1689000000,191572000000,85982000000,2288000000,105590000000,11471000000,25750000000,1675000000,3088000000
250,ICE,77583745000,4896000000,32.34,1.234,44.88,1.68,0.0133,4.19,7292000000,4.19,-0.147,0.245,32.34,1.019,2023-12-31,5441000000,9079000000,3638000000,3694000000,4294000000,3632000000,2368000000,136084000000,110298000000,3908000000,25717000000,3542000000,489000000,2438000000,955000000
251,IFF,20552495000,1747000000,1332.33,16.19,66.51,3.24,0.0405,0.06,4151000000,0.06,-0.743,-0.079,1332.33,1.242,2022-12-31,4151000000,12118000000,14345000000,-1326000000,6664000000,-1326000000,-1871000000,35504000000,17849000000,410000000,17655000000,397000000,506000000,-1864000000,810000000
252,IP,12200559000,2640000000,41,0.39,24.12,1.85,0.0525,0.86,6018000000,0.86,-0.821,-0.104,41,0.969,2022-12-31,25582000000,42080000000,16498000000,24095000000,1487000000,1671000000,1504000000,23940000000,14506000000,763000000,8497000000,2174000000,931000000,1504000000,673000000
253,IPG,12179524000,1795700000,10.8,3.182,9.61,1.24,0.0429,2.85,2125900000,2.85,0.611,0.014,10.8,1.146,2022-12-31,-4877100000,10927800000,15804900000,1381200000,9546600000,1431100000,938000000,18845000000,15100700000,44900000,3647900000,608800000,178100000,956100000,457300000
254,INTU,184242668000,4000000000,72.01,2.293,60.66,3.24,0.0055,9.14,11388000000,9.14,-0.185,0.41,72.01,1.232,2023-07-31,8660000000,14368000000,5708000000,3141000000,8084000000,3141000000,2384000000,27780000000,10511000000,None,17269000000,5046000000,260000000,2384000000,889000000
255,ISRG,136780005000,2169000000,77.49,5.7,37.77,None,None,5.01,4196000000,5.01,0.857,0.165,77.49,1.372,2023-12-31,4729500000,7616100000,4378700000,1766800000,2962700000,1766800000,1798000000,15441500000,2044200000,None,13307600000,1813800000,1064200000,1817300000,None
256,IVZ,7152408000,905600000,None,8.14,32.48,0.8,0.0503,-0.73,1897800000,-0.73,-0.253,-0.021,-,1.454,2022-12-31,3535900000,5965300000,2429400000,1317700000,4731200000,1091300000,683900000,29756800000,12914600000,None,15213600000,703200000,192900000,925500000,571600000
257,INVH,20237451000,1342328000,40.83,5.7,16.73,1.04,0.0339,0.81,1354228000,0.81,0.623,0.079,40.83,0.943,2022-12-31,1258436000,2238121000,979685000,1153038000,105398000,687571000,383329000,18536708000,8213077000,None,10291342000,1023587000,895147000,384799000,539033000
258,IQV,39821500000,2715000000,36.61,1.891,31.81,None,None,5.96,5028000000,5.96,0.094,0.049,36.61,1.485,2022-12-31,1553000000,14004000000,12451000000,1799000000,3059000000,1767000000,1091000000,25337000000,19572000000,157000000,5765000000,2260000000,674000000,1091000000,None
259,IRM,20039274000,1791605000,73.01,1.08,0.899,2.506,0.0379,0.94,2914454000,0.94,-0.53,0.079,73.01,0.92,2022-12-31,1091378000,4712394000,3621016000,1049871000,1337396000,1049871000,556981000,16140514000,15503846000,87546000,636668000,927695000,1757609000,562149000,724388000
260,JBHT,22252167000,1717860000,30.97,6.66,39.76,1.68,0.008,6.96,2577787000,6.96,-0.235,-0.095,30.97,1.119,2022-12-31,9199979000,14788173000,5588194000,1332000000,834939000,1332622000,969351000,7787000000,4119814000,None,3666768000,1776882000,1540796000,969351000,166724000
261,JBL,17827105000,2513000000,23.77,0.91,19.7,0.32,0.0023,5.88,2867000000,5.88,-0.087,-0.13,23.77,1.4,2023-08-31,2867000000,34496000000,33220000000,1537000000,1419000000,1537000000,818000000,19424000000,16557000000,74000000,2866000000,1734000000,1030000000,818000000,45000000
262,JKHY,12819614000,557190000,34.5,3.554,23.67,2.08,0.0118,5.1,858640000,5.1,0.145,0.08,34.5,0.657,2023-06-30,852526000,2071588000,1219062000,480688000,373437000,489647000,366646000,2773826000,1165316000,None,1608510000,381559000,206984000,366646000,147237000
263,J,18284734000,1482252000,25.89,1.419,53.17,1.04,0.008,5.62,3499811000,5.62,0.283,0.095,25.89,0.728,2023-09-30,3473315000,16377419000,15567293000,1075237000,2691205000,1030066000,665777000,14617109000,128900000,51773000,6546220000,974763000,137486000,719656000,151576000
264,JNJ,377365234000,29532998000,30.15,5.77,29.59,4.7,0.0304,5.2,63954000000,5.2,0.262,-0.097,30.15,0.535,2021-12-31,63854000000,94943000000,31089000000,23917000000,40151000000,22001000000,17941000000,187378000000,110574000000,12800000000,76804000000,23410000000,3652000000,20878000000,11032000000
265,JCI,37823087000,3665000000,20.63,1.07,24.5,1.47,0.0267,2.69,8971000000,2.69,2.232,0.004,20.63,1.233,2023-09-30,8971000000,26703000000,25690000000,833000000,8138000000,833000000,1849000000,42242000000,25697000000,1030000000,16545000000,4438000000,539000000,2033000000,1129000000
266,JPM,503451222000,None,10.79,3.011,104.45,4.1,0.024,16.22,122306000000,16.22,-0.15,0.11,10.79,1.122,2022-12-31,46166000000,128695000000,82529000000,17761000000,28405000000,72263000000,37676000000,3665743000000,3373411000000,44027000000,292332000000,107119000000,None,37676000000,13562000000
267,JNPR,11920216000,762800000,38.98,1.185,14.03,0.88,0.0238,0.95,2958300000,0.95,-0.307,-0.058,38.98,0.992,2023-12-31,3201900000,5484500000,4046700000,470100000,2731800000,419400000,310200000,9518500000,5025800000,None,4492700000,872800000,159400000,310200000,280800000
268,K,18818050000,1986000000,23.77,4.537,9.31,2.34,0.0419,2.25,4625000000,2.25,-0.133,-0.172,23.77,0.41,2022-12-31,1624000000,15315000000,13691000000,1635000000,3122000000,1635000000,960000000,18496000000,14555000000,1560000000,3941000000,1651000000,488000000,962000000,797000000
269,KVUE,37016953000,3641000000,21.48,None,5.69,0.4,0.0414,0.9,8340000000,0.9,-0.328,-0.027,21.48,None,2023-12-31,8285000000,14950000000,6665000000,2675000000,5617000000,2703000000,2087000000,27316000000,7295000000,None,20021000000,None,0,None,None
270,KDP,43558289000,3930000000,22.74,1.09,18.14,0.815,0.0273,1.37,7332000000,1.37,1.911,0.051,22.74,0.67,2022-12-31,7323000000,13190000000,12315000000,2605000000,5209000000,2413000000,1436000000,51837000000,26712000000,895000000,25126000000,2837000000,379000000,1435000000,1080000000
271,KEY,13008873000,None,15.78,9.02,12.96,0.82,0.059,0.88,6743000000,0.88,-0.921,-0.121,15.78,1.296,2022-12-31,2360000000,7272000000,4912000000,897000000,1456000000,3224000000,1917000000,189813000000,176359000000,9463000000,13454000000,4469000000,96000000,1917000000,854000000
272,KEYS,28212537000,1591000000,27.33,3.445,26.7,None,None,5.91,3532000000,5.91,-0.231,-0.091,27.33,1.075,2023-10-31,2123000000,5464000000,3341000000,1358000000,2291000000,1358000000,1057000000,8683000000,4029000000,599000000,4654000000,1408000000,196000000,1057000000,None
273,KMB,40516985000,3619000000,23.0,2.071,2.715,4.72,0.0407,5.21,6219000000,5.21,0.007,0.001,23.0,0.42,2023-12-31,7032000000,20400000000,13368000000,2344000000,2001000000,2510000000,1764000000,17344000000,16429000000,567000000,915000000,3542000000,766000000,1764000000,1588000000
274,KIM,13500226000,1074629000,19.69,3.896,15.37,0.93,0.0478,1.02,1196777000,1.02,1.25,0.027,19.69,1.46,2022-12-31,1081192000,1727684000,646492000,565464000,1177399000,409453000,125976000,17826122000,8086280000,None,9515508000,861114000,300437000,114534000,542267000
275,KMI,36964725000,6491999000,15.67,1.566,13.64,1.13,0.068,1.06,7290000000,1.06,-0.097,-0.118,15.67,0.888,2022-12-31,8968000000,19200000000,10232000000,4065000000,3292000000,4065000000,2548000000,70078000000,37964000000,3385000000,30742000000,4967000000,1621000000,2625000000,2620000000
276,KLAC,87875052000,3944563000,32.9,2.814,22.5,5.35,0.0089,19.75,5619442000,19.75,-0.379,-0.167,32.9,1.328,2023-06-30,5995991000,10214298000,4218307000,3408319000,2557985000,4086056000,3387277000,14072357000,11152604000,0,2919753000,3669805000,341591000,3387351000,732600000
277,KHC,44769341000,6487000000,14.86,0.744,40.16,1.6,0.0445,2.42,8235000000,2.42,-0.4,0.01,14.86,0.65,2022-12-31,8122000000,25743000000,24019000000,3634000000,5893000000,3882000000,2363000000,90513000000,41643000000,837000000,48678000000,2469000000,916000000,2368000000,1960000000
278,KR,32690614000,7819000000,17.67,1.72,12.34,1.1,0.0255,2.57,32808000000,2.57,-0.882,-0.006,17.67,0.451,2023-01-28,29848000000,147723000000,117875000000,4126000000,1394000000,3432000000,2244000000,49623000000,39609000000,1310000000,10042000000,4498000000,3078000000,2249000000,682000000
279,LHX,39773073000,3047000000,32.58,3.622,99.31,4.56,0.0217,6.44,4927000000,6.44,-0.617,0.166,32.58,0.662,2022-12-31,480000000,16777000000,16297000000,1826000000,4160000000,1826000000,1062000000,35362000000,16831000000,943000000,18428000000,2158000000,252000000,1061000000,864000000
280,LH,18915719000,2127800000,22.95,3.122,92.73,2.88,0.0129,9.7,4385100000,9.7,-0.459,0.066,22.95,1.023,2022-12-31,4385100000,14876800000,10491700000,1773900000,2669400000,1761400000,1279100000,20155100000,10039600000,301300000,10096600000,1955900000,481900000,1280600000,195200000
281,LRCX,119510876000,4386708000,35.2,3.203,62.63,7.45,0.0088,25.9,7871807000,25.9,-0.33,-0.288,35.2,1.504,2023-06-30,7776925000,17234976000,10947092000,5174860000,2602065000,5295672000,4510931000,18781643000,10571471000,8358000,8210172000,5178938000,501568000,4510931000,907907000
282,LW,14564289000,1380200000,13.08,3.267,11.55,1.12,0.0143,7.71,832000000,7.71,1.085,0.357,13.08,0.721,2023-05-28,1432100000,5371000000,4476500000,882100000,575200000,882100000,1008900000,6519800000,5346700000,215900000,1411300000,761700000,736000000,1008900000,146100000
283,LVS,40409158000,3548000000,33.51,1.34,5.47,0.6,0.0112,1.6,2585000000,1.6,-0.943,1.61,33.51,1.164,2023-12-31,8042000000,10372000000,2330000000,2313000000,2539000000,2383000000,1221000000,21778000000,17674000000,1900000000,4118000000,5109000000,1017000000,1431000000,305000000
284,LDOS,15611056000,1572000000,107.1,2.34,30.15,1.44,0.0134,1.06,2084000000,1.06,0.21,0.087,107.1,0.688,2022-12-31,2084000000,14396000000,12312000000,1088000000,1332000000,1088000000,685000000,13071000000,8718000000,992000000,4299000000,986000000,129000000,693000000,199000000
